relative_path,filename,extension,prefix,parse_status,has_up,has_down,operation_tags,table_reference_sample,file_sha256,size_bytes,order_index,classification
backend/migrations/backup/20250629020125-remove-rpjmd-id-from-kegiatan.js,20250629020125-remove-rpjmd-id-from-kegiatan.js,.js,20250629020125,prefix_ok,True,True,add_column|remove_column,rpjmd_id,a13ae28063ed170244105534c35a17879e29084b8deaf590434a0cbd7d4e5744,480,,backup-or-nonactive-copy
backend/migrations/backup/20250629022622-rename-pagu-anggaran-to-sisa-anggaran.js,20250629022622-rename-pagu-anggaran-to-sisa-anggaran.js,.js,20250629022622,prefix_ok,True,True,,pagu_anggaran|sisa_anggaran|sub_kegiatan,51db5a9409ba9f803613c00fb1a4dd30781d257af93d96777834b10658ca1fc1,356,,backup-or-nonactive-copy
backend/migrations/backup/20250629024304-update-precision-on-sub-kegiatan.js,20250629024304-update-precision-on-sub-kegiatan.js,.js,20250629024304,prefix_ok,True,True,change_column,anggaran_kegiatan|sisa_anggaran|sub_kegiatan,9fe3432b914b4b6d9edbc2e15813496eef911f64eb2e0fcd4f0cb9e42062041f,804,,backup-or-nonactive-copy
backend/migrations/backup/20250629034241-remove-multiple-columns-from-sub-kegiatan.js,20250629034241-remove-multiple-columns-from-sub-kegiatan.js,.js,20250629034241,prefix_ok,True,True,add_column|remove_column,anggaran_kegiatan|anggaran_sub_kegiatan|kerangka_pelaksanaan|pihak_terlibat|rencana_lokasi_desa|rencana_lokasi_kabupaten|rencana_lokasi_kecamatan|rpjmd_id|sisa_anggaran|status_monitoring|sub_kegiatan|sumber_daya_pendukung|tanggal_laporan|target_akhir|target_awal|waktu_pelaksanaan,5bb61c82ed9a41414d5c27bd549ec4d90c42a2b50f52ef17f76e6888e6e047e5,4234,,backup-or-nonactive-copy
backend/migrations/backup/20250629043402-add-sub-bidang-opd-to-sub-kegiatan.js,20250629043402-add-sub-bidang-opd-to-sub-kegiatan.js,.js,20250629043402,prefix_ok,True,True,add_column|remove_column,nama_bidang_opd|sub_bidang_opd|sub_kegiatan,201aa2601bf0bced7094785b1e9af9c78c2a465f0340bf806cabfeb5a19574b4,404,,backup-or-nonactive-copy
backend/migrations/backup/20250629061804-update-kegiatan-remove-anggaran-add-penanggung-jawab.js,20250629061804-update-kegiatan-remove-anggaran-add-penanggung-jawab.js,.js,20250629061804,prefix_ok,True,True,add_column|remove_column,bidang_opd_penanggung_jawab|opd_penanggung_jawab,da5e0a827f2ef5b476da0c2232a8aaab7050e1e6b70e6d192646260ad22fdafa,774,,backup-or-nonactive-copy
backend/migrations/backup/20250629061805-add-unique-index-tujuan.js,20250629061805-add-unique-index-tujuan.js,.js,20250629061805,prefix_ok,True,True,add_constraint|remove_constraint,misi_id|no_tujuan|periode_id|unique_no_tujuan_per_misi_periode,b3c0ddc735d1136a33df57462c32cecf5d8361dfdbf9f3e372e956bf7e30282b,432,,backup-or-nonactive-copy
backend/migrations/backup/20250629142807-remove-indikator-from-tujuan.js,20250629142807-remove-indikator-from-tujuan.js,.js,20250629142807,prefix_ok,True,True,add_column|remove_column,,b4863810572d2742b878f7089ec8c792926a572ef90a2de68d7a8eb1f2902964,313,,backup-or-nonactive-copy
backend/migrations/backup/20250629185740-add-rekomendasi-ai-to-indikatortujuans.js,20250629185740-add-rekomendasi-ai-to-indikatortujuans.js,.js,20250629185740,prefix_ok,True,True,add_column|remove_column,rekomendasi_ai,3e93c2bd82729f009e9c4da1c0c0c554dd51afc53f16226c1d2f109f10b16af3,421,,backup-or-nonactive-copy
backend/migrations/backup/20250630121436-add-dokumen-tahun-to-tujuan.js,20250630121436-add-dokumen-tahun-to-tujuan.js,.js,20250630121436,prefix_ok,True,True,add_column|remove_column,,915f070d958abb3d0f1ccefc1525c0d8a5d2ced64ffb809efbe0772032597412,622,,backup-or-nonactive-copy
backend/migrations/backup/20250630162416-add-unique-kode-arah-to-arah-kebijakan.js,20250630162416-add-unique-kode-arah-to-arah-kebijakan.js,.js,20250630162416,prefix_ok,True,True,add_column|add_constraint|remove_column|remove_constraint,arah_kebijakan|kode_arah|unique_kode_arah_constraint,dc6c99918f07814f56299f3336acff78b41de97de67a79e029fc5f640775cf77,790,,backup-or-nonactive-copy
backend/migrations/backup/20250702171952-add-jenisDokumen-tahun-to-sasaran.js,20250702171952-add-jenisDokumen-tahun-to-sasaran.js,.js,20250702171952,prefix_ok,True,True,add_column|remove_column,,082f50ada124459c5ded202801373eeb6f42b7b4acfce91bdf1744230977b0ac,581,,backup-or-nonactive-copy
backend/migrations/backup/20250703063943-add-jenisDokumen-tahun-to-program-and-subkegiatan.js,20250703063943-add-jenisDokumen-tahun-to-program-and-subkegiatan.js,.js,20250703063943,prefix_ok,True,True,add_column|remove_column,sub_kegiatan,f27ec70040bdc3e9bfc2c6d5c894a18a29463a2f33674ab4c9225e699adbc44c,892,,backup-or-nonactive-copy
backend/migrations/backup/20250703063944-rename-jenisDokumen-column.js,20250703063944-rename-jenisDokumen-column.js,.js,20250703063944,prefix_ok,True,True,,jenis_dokumen|sub_kegiatan,680556556b91fcf999c3106448c88680f295c934de816b4f9b39e066a6d8bae5,356,,backup-or-nonactive-copy
backend/migrations/backup/20250703102321-rename-jenisDokumen-column-in-kegiatan.js,20250703102321-rename-jenisDokumen-column-in-kegiatan.js,.js,20250703102321,prefix_ok,True,True,,jenis_dokumen,000bd54bebde02309b34eea6cdc80654d9f1b576668dc4b87ba10ff7fd33885a,334,,backup-or-nonactive-copy
backend/migrations/backup/20250703102604-rename-jenisDokumen-column-in-program.js,20250703102604-rename-jenisDokumen-column-in-program.js,.js,20250703102604,prefix_ok,True,True,,jenis_dokumen,6e614565a387c34dfcae68b1780ccef9e88570e270109ff2858599dcd07f890f,354,,backup-or-nonactive-copy
